Date,Open,High,Low,Close,Volume,Adj Close
2009-06-19,393.00,414.95,392.15,414.00,14341500,372.61
2009-06-18,415.00,420.40,379.30,390.00,16089800,351.01
2009-06-17,447.65,451.90,411.15,414.90,12438000,373.42
2009-06-16,424.00,455.80,410.15,447.45,13330700,402.71
2009-06-15,450.95,455.00,430.10,436.00,8063100,392.41
2009-06-12,459.25,472.00,452.25,455.75,14190100,410.18
2009-06-11,445.00,458.80,437.50,450.65,9538500,405.59
2009-06-10,449.75,463.75,433.85,442.65,11322200,398.39
2009-06-09,398.00,448.60,398.00,441.50,12564200,397.36
2009-06-08,468.00,470.00,409.20,412.50,13929200,371.26
2009-06-05,475.00,481.50,460.25,463.95,10270700,417.57
2009-06-04,487.00,487.00,462.70,471.50,11247500,424.36
2009-06-03,498.80,498.80,478.35,482.00,15299200,433.81
2009-06-02,444.90,483.80,436.00,480.00,17612600,432.01
2009-06-01,420.00,446.80,410.20,433.60,12392500,390.25
2009-05-29,389.90,412.70,385.00,403.50,12137000,363.16
2009-05-28,378.80,389.90,368.55,385.00,14215900,346.51
2009-05-27,372.95,378.80,366.20,372.00,8657200,334.81
2009-05-26,376.80,377.70,357.15,365.95,8428200,329.36
2009-05-25,363.50,376.70,361.50,366.40,8014200,329.77
2009-05-22,361.00,374.00,352.15,364.80,12279100,328.33
2009-05-21,366.00,387.55,357.20,367.35,18097800,330.62
2009-05-20,325.00,379.00,325.00,370.10,24893200,333.10
2009-05-19,330.00,351.00,300.00,329.10,22722900,296.20
2009-05-18,320.00,325.00,301.00,318.25,66000,286.43
2009-05-15,267.00,275.40,266.20,271.20,10100000,244.09
2009-05-14,258.00,268.75,251.40,264.00,14345800,237.61
2009-05-13,277.50,277.80,262.30,264.05,15241400,237.65
2009-05-12,267.10,277.45,258.10,274.95,14930500,247.46
2009-05-11,285.20,288.80,267.20,268.50,16987300,241.66
2009-05-08,299.70,302.85,280.15,282.50,18226700,254.26
2009-05-07,275.00,298.00,272.00,297.65,20781100,267.89
2009-05-06,287.00,289.50,268.20,271.85,13896300,244.67
2009-05-05,266.90,288.85,264.50,284.70,16763900,256.24
2009-05-04,245.00,264.35,244.00,264.15,12599800,237.74
2009-05-01,238.50,238.50,238.50,238.50,000,214.66
2009-04-30,238.50,238.50,238.50,238.50,000,214.66
2009-04-29,237.00,243.60,229.50,238.50,16859500,214.66
2009-04-28,255.20,257.40,232.00,235.00,11926800,211.51
2009-04-27,259.00,268.50,251.05,253.90,13582700,228.52
2009-04-24,264.20,272.00,256.65,258.95,15293200,233.06
2009-04-23,244.00,266.35,238.65,266.00,16624000,239.41
2009-04-22,238.10,257.75,237.25,242.40,11429100,218.17
2009-04-21,252.00,258.95,242.20,245.00,16088700,220.51
2009-04-20,264.00,268.65,256.10,262.75,11828500,236.48
2009-04-17,279.85,287.50,253.55,260.85,19126300,234.77
2009-04-16,299.00,299.00,265.00,268.50,19043500,241.66
2009-04-15,290.00,297.75,265.10,292.50,18133900,263.26
2009-04-14,282.00,282.00,282.00,282.00,000,253.81
2009-04-13,268.10,289.45,266.00,282.00,17672300,253.81
2009-04-10,265.00,265.00,265.00,265.00,000,238.51
2009-04-09,247.95,265.80,240.00,265.00,18560900,238.51
2009-04-08,225.10,245.50,221.15,243.10,12109400,218.80
2009-04-07,236.00,236.00,236.00,236.00,000,212.41
2009-04-06,229.95,239.65,228.00,236.00,13530800,212.41
2009-04-02,215.00,230.35,214.50,225.40,13657500,202.86
2009-04-01,207.05,213.40,202.95,210.15,11916300,189.14
2009-03-31,199.00,212.00,195.65,206.90,16448800,186.21
2009-03-30,215.00,221.00,192.35,195.75,15968200,176.18
2009-03-27,206.35,227.30,206.00,226.00,18856200,203.40
2009-03-26,198.00,206.95,197.00,205.70,13929300,185.13
2009-03-25,187.80,196.95,181.75,196.25,14981800,176.63
2009-03-24,198.00,203.35,186.05,186.45,14527200,167.81
2009-03-23,181.80,195.95,178.40,195.80,12928300,176.22
2009-03-20,170.00,178.90,169.00,176.10,8545100,158.49
2009-03-19,177.80,181.50,169.65,172.00,8842400,154.80
2009-03-18,174.25,180.35,170.70,176.90,8643800,159.21
2009-03-17,174.90,175.45,167.00,168.00,8310800,151.20
2009-03-16,168.90,171.45,162.40,169.25,6656100,152.33
2009-03-13,159.70,167.75,158.00,166.60,9029800,149.94
2009-03-12,158.85,158.85,154.00,154.35,5452800,138.92
2009-03-09,155.05,159.15,151.15,151.70,5828600,136.53
2009-03-06,150.00,159.85,148.70,158.65,6914400,142.79
2009-03-05,162.90,162.90,150.65,151.75,10073100,136.58
2009-03-04,158.65,162.90,154.05,156.85,12273500,141.17
2009-03-03,159.50,162.35,154.05,154.70,7218100,139.23
2009-03-02,170.20,170.75,157.10,157.60,8773600,141.84
2009-02-27,163.50,175.30,156.15,173.10,14548400,155.79
2009-02-26,164.00,165.50,159.05,163.35,5228600,147.02
2009-02-25,168.00,168.00,159.70,159.90,4999800,143.91
2009-02-24,165.00,166.00,158.40,159.70,8172500,143.73
2009-02-20,169.95,171.70,166.05,168.30,4128700,151.47
2009-02-19,173.00,175.20,168.40,172.70,5008500,155.43
2009-02-18,170.90,174.95,168.05,170.35,6243800,153.32
2009-02-17,182.00,182.40,170.20,172.20,6006600,154.98
2009-02-16,190.55,196.90,183.00,183.20,6131400,164.88
2009-02-13,187.00,196.00,187.00,194.00,6152900,174.60
2009-02-12,188.50,193.00,184.35,184.55,5405700,166.10
2009-02-11,192.05,193.65,187.10,190.95,7145300,171.86
2009-02-10,199.50,203.85,194.30,195.00,9518500,175.50
2009-02-09,187.80,200.85,187.75,200.20,8103300,180.18
2009-02-06,184.00,187.80,182.00,187.00,4065800,168.30
2009-02-05,180.60,188.40,180.15,182.50,8187000,164.25
2009-02-04,172.00,181.00,172.00,179.50,6819500,161.55
2009-02-03,175.95,177.40,167.60,170.50,5724900,153.45
2009-02-02,182.90,183.00,171.15,172.50,4752900,155.25
2009-01-30,184.90,188.35,176.00,184.00,8606300,165.60
2009-01-29,177.00,186.50,177.00,181.70,11982700,163.53
2009-01-28,175.00,180.70,167.05,177.40,15780300,159.66
2009-01-27,170.00,176.65,169.00,172.05,6373900,154.85
2009-01-23,179.00,180.00,165.05,166.45,7424200,149.81
2009-01-22,192.90,194.00,177.15,178.75,7433300,160.88
2009-01-21,192.15,193.90,188.00,188.30,6197100,169.47
2009-01-20,204.05,204.40,193.00,195.05,8297100,175.55
2009-01-19,204.00,211.40,202.10,207.15,5212000,186.44
2009-01-16,200.00,208.00,191.60,202.75,9292800,182.48
2009-01-15,206.00,206.00,195.35,197.60,7538600,177.84
2009-01-14,207.00,215.70,205.50,214.80,5089700,193.32
2009-01-13,196.10,208.00,191.00,205.80,8430400,185.22
2009-01-12,212.80,216.45,198.35,199.10,7017600,179.19
2009-01-09,230.00,236.00,208.20,212.00,8390900,190.80
2009-01-08,234.50,234.50,234.50,234.50,000,211.06
2009-01-07,250.10,260.70,230.00,234.50,10024500,211.06
2009-01-06,245.00,255.00,238.20,248.50,7485500,223.66
2009-01-05,232.80,248.00,232.60,247.50,7528100,222.76
2009-01-02,229.55,235.70,227.00,230.20,5315800,207.19
2009-01-01,218.00,229.70,218.00,229.00,5173400,206.11
2008-12-31,217.00,223.00,214.20,216.55,6190200,194.90
2008-12-30,216.00,220.60,211.55,213.05,5474900,191.75
2008-12-29,213.90,216.85,202.40,215.00,7880400,193.50
2008-12-26,219.00,225.90,210.00,212.55,5831000,191.30
2008-12-25,219.30,219.30,219.30,219.30,000,197.37
2008-12-24,220.00,221.00,211.10,219.30,5839600,197.37
2008-12-23,222.70,225.90,214.40,219.50,5824100,197.55
2008-12-22,226.80,236.75,222.10,225.05,6266400,202.55
2008-12-19,222.00,234.40,220.85,229.00,8366500,206.11
2008-12-18,215.45,227.95,205.25,227.10,11746100,204.39
2008-12-17,232.90,232.90,214.60,215.90,8189300,194.31
2008-12-16,225.60,229.80,217.80,225.40,8024600,202.86
2008-12-15,223.00,237.40,222.00,226.70,9868900,204.03
2008-12-12,214.00,221.90,204.25,218.70,9280600,196.83
2008-12-11,220.60,225.90,208.55,217.20,12736600,195.48
2008-12-10,198.00,223.00,197.00,222.20,15661900,199.98
2008-12-08,187.60,204.95,187.60,194.00,16184700,174.60
2008-12-05,185.00,188.45,177.40,183.85,11358900,165.47
2008-12-04,165.00,193.25,162.00,185.50,12974700,166.95
2008-12-03,150.00,166.20,150.00,165.00,17730000,148.50
2008-12-02,150.00,150.40,146.50,148.90,3541400,134.01
2008-12-01,154.80,158.80,151.55,153.20,7541200,137.88
2008-11-28,151.60,153.90,148.05,150.60,6413900,135.54
2008-11-26,152.00,157.80,146.05,154.15,8391800,138.74
2008-11-25,163.00,163.00,149.55,150.00,6573500,135.00
2008-11-24,137.50,164.00,137.50,153.75,8945400,138.38
2008-11-21,156.00,164.50,151.25,161.70,9120700,145.53
2008-11-20,155.00,160.00,152.10,157.50,7298000,141.75
