Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-December-2006,1425.00,1444.40,1368.20,1408.90,1407.912256016974295809,222454,8295,313195713.00,71589,32.18,76.20,-16.10
19-December-2006,1476.00,1476.00,1399.00,1415.75,1423.887231510609970190,254619,8374,362548743.00,112701,44.26,77.00,-60.25
18-December-2006,1470.00,1475.00,1441.00,1471.90,1463.248132740286053398,166822,4048,244101980.00,93983,56.34,34.00,1.90
15-December-2006,1460.00,1474.50,1452.15,1459.95,1464.488422892092616863,153363,4684,224598338.00,60951,39.74,22.35,-0.05
14-December-2006,1425.00,1457.00,1419.00,1452.25,1442.944909413154785348,182808,6248,263781873.00,59785,32.70,38.00,27.25
13-December-2006,1390.00,1441.00,1350.00,1420.75,1408.034439195869493573,218472,7578,307616100.00,71010,32.50,91.00,30.75
12-December-2006,1444.40,1486.00,1355.00,1394.05,1423.816741099798833320,456338,13007,649741684.00,203447,44.58,131.00,-50.35
11-December-2006,1460.00,1461.00,1406.30,1436.30,1431.636483125465207051,275415,7268,394294162.00,141740,51.46,54.70,-23.70
8-December-2006,1477.00,1481.00,1445.00,1451.55,1460.247589729238088574,71465,3155,104356594.00,19101,26.73,36.00,-25.45
7-December-2006,1460.00,1490.00,1460.00,1470.00,1472.742767309697017250,178426,5618,262775601.00,68235,38.24,30.00,10.00
6-December-2006,1465.00,1476.00,1440.00,1462.85,1455.274596560186231286,190301,5348,276940211.00,91414,48.04,36.00,-2.15
5-December-2006,1408.00,1467.05,1408.00,1462.25,1448.761811676247787167,319726,8791,463206819.00,149174,46.66,59.05,54.25
4-December-2006,1384.30,1427.95,1384.30,1422.00,1415.318072414399718530,250116,7718,353993695.00,110421,44.15,43.65,37.70
1-December-2006,1379.00,1393.70,1375.00,1378.90,1383.432738836526398507,217607,2244,301044648.00,182866,84.03,18.70,-0.10
30-November-2006,1396.00,1399.00,1365.00,1369.40,1378.393392577438225234,62566,2719,86240561.00,18635,29.78,34.00,-26.60
29-November-2006,1390.00,1400.00,1373.15,1379.85,1389.915975305126645354,77263,2797,107389078.00,27116,35.10,26.85,-10.15
28-November-2006,1396.00,1397.00,1365.15,1383.00,1380.802386955394801951,84878,3609,117199745.00,25209,29.70,31.85,-13.00
27-November-2006,1390.55,1407.00,1384.00,1396.20,1397.194297639144561040,117881,3589,164702661.00,55549,47.12,23.00,5.65
24-November-2006,1402.70,1411.00,1375.50,1386.95,1397.820283765289538961,187056,5899,261470671.00,90309,48.28,35.50,-15.75
23-November-2006,1380.00,1422.10,1380.00,1402.70,1405.369305612187356311,461068,13511,647970815.00,187897,40.75,42.10,22.70
22-November-2006,1361.00,1379.05,1348.15,1373.20,1368.569385631669368693,247962,8627,339353202.00,84300,34.00,30.90,12.20
21-November-2006,1336.00,1353.45,1319.00,1348.15,1338.595895884878039442,208961,6016,279714337.00,90874,43.49,34.45,12.15
20-November-2006,1355.00,1356.00,1288.00,1327.00,1319.838471416700939207,238286,8400,314499030.00,78968,33.14,68.00,-28.00
17-November-2006,1360.00,1392.00,1350.00,1354.60,1373.352428761759747675,294224,10322,404073245.00,89315,30.36,42.00,-5.40
16-November-2006,1350.00,1359.95,1344.05,1352.25,1352.761010918905655747,228228,5178,308737940.00,133944,58.69,15.90,2.25
15-November-2006,1340.00,1360.00,1260.00,1348.75,1349.401555277349768875,207680,5985,280243715.00,89696,43.19,100.00,8.75
14-November-2006,1343.00,1357.00,1332.00,1346.80,1347.012791981506400303,231864,7004,312323774.00,95474,41.18,25.00,3.80
13-November-2006,1340.00,1348.00,1328.00,1337.05,1339.061762721329021149,85958,3575,115103071.00,29178,33.94,20.00,-2.95
10-November-2006,1313.00,1341.00,1306.00,1337.15,1328.736871812343318569,196657,4573,261305407.00,116730,59.36,35.00,24.15
9-November-2006,1320.00,1323.00,1302.00,1310.65,1310.188221895919806685,172982,2997,226638979.00,109325,63.20,21.00,-9.35
8-November-2006,1328.00,1330.00,1291.00,1312.35,1312.034925191753920938,113557,4348,148990750.00,33895,29.85,39.00,-15.65
7-November-2006,1345.00,1351.80,1315.30,1322.40,1335.618732239822187209,177715,3968,237359483.00,100339,56.46,36.50,-22.60
6-November-2006,1340.00,1353.30,1335.05,1341.30,1343.729340610709544180,135580,4612,182182824.00,44959,33.16,18.25,1.30
3-November-2006,1339.00,1347.70,1328.00,1337.10,1336.657563821720448226,189904,4953,253836618.00,61197,32.23,19.70,-1.90
2-November-2006,1328.00,1349.50,1328.00,1339.00,1341.352391897124121625,242778,8146,325650851.00,87130,35.89,21.50,11.00
1-November-2006,1312.80,1330.10,1301.00,1321.10,1314.015133811828854392,179730,4556,236167940.00,94651,52.66,29.10,8.30
31-October-2006,1305.00,1324.80,1295.10,1312.80,1311.095094669028131977,277229,7591,363473582.00,105767,38.15,29.70,7.80
30-October-2006,1270.00,1306.50,1266.30,1299.05,1296.662320865021470329,154632,6141,200505488.00,66726,43.15,40.20,29.05
27-October-2006,1273.00,1277.00,1258.00,1270.20,1265.263253297484325241,181502,3887,229647811.00,71356,39.31,19.00,-2.80
26-October-2006,1273.00,1284.00,1261.00,1270.85,1274.322338661885722430,133307,2281,169876088.00,85012,63.77,23.00,-2.15
23-October-2006,1280.00,1285.00,1270.20,1274.25,1275.303299771368272951,90976,1867,116021993.00,67608,74.31,14.80,-5.75
21-October-2006,1293.00,1293.00,1272.30,1275.85,1280.099988683942514427,44185,2574,56561218.00,25303,57.27,20.70,-17.15
20-October-2006,1280.00,1291.75,1275.00,1279.70,1282.493947381741300699,256831,3570,329384203.00,182643,71.11,16.75,-0.30
19-October-2006,1315.00,1319.40,1265.00,1276.35,1285.529140665457546400,422897,11619,543646417.00,132205,31.26,54.40,-38.65
18-October-2006,1290.00,1315.00,1272.30,1304.15,1304.145816708454105036,194237,5945,253313371.00,71956,37.05,42.70,14.15
17-October-2006,1315.25,1315.25,1283.00,1290.20,1294.963512109172864162,233831,5391,302802613.00,129548,55.40,32.25,-25.05
16-October-2006,1279.95,1316.00,1272.05,1306.25,1297.002542595708876735,380320,9960,493276007.00,174529,45.89,43.95,26.30
13-October-2006,1290.00,1292.00,1262.00,1267.30,1271.294050083661836022,141044,4262,179308398.00,78222,55.46,30.00,-22.70
12-October-2006,1268.00,1274.70,1244.00,1271.90,1261.180131901204615774,130249,4632,164267451.00,61782,47.43,30.70,3.90
11-October-2006,1286.00,1296.00,1250.10,1258.55,1270.862863224134739959,108060,4135,137329441.00,48282,44.68,45.90,-27.45
10-October-2006,1300.00,1308.80,1274.90,1280.60,1285.785679955558052294,160209,3598,205994438.00,102223,63.81,33.90,-19.40
9-October-2006,1268.00,1299.90,1243.00,1291.40,1275.046076056125107909,251367,6017,320504507.00,129368,51.47,56.90,23.40
6-October-2006,1273.00,1280.00,1265.00,1266.55,1272.693933915281120711,90157,4177,114742267.00,33530,37.19,15.00,-6.45
5-October-2006,1250.00,1266.70,1242.00,1262.35,1257.668216802582074444,104722,4445,131705531.00,38368,36.64,24.70,12.35
