Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-September-2007,4749.00,4950.00,4686.05,4898.10,4858.755948582368493025,10969,1332,53295694.00,5212,47.52,263.95,149.10
19-September-2007,4655.00,4739.00,4626.00,4685.60,4705.702201874863745367,4587,466,21585056.00,2223,48.46,113.00,30.60
18-September-2007,4615.00,4680.00,4570.00,4661.00,4655.622677165354330708,3175,448,14781602.00,960,30.24,110.00,46.00
17-September-2007,4640.00,4670.00,4560.00,4618.90,4595.104071190211345939,22475,763,103274964.00,18334,81.58,110.00,-21.10
14-September-2007,4700.00,4720.00,4590.00,4619.10,4668.474812934259754142,14968,1377,69877731.00,7128,47.62,130.00,-80.90
13-September-2007,4444.00,4699.00,4390.00,4594.60,4515.778562349950571953,42486,1771,191857368.00,31927,75.15,309.00,150.60
12-September-2007,4201.00,4400.00,4199.00,4360.90,4285.885019465628499813,18751,1641,80364630.00,9691,51.68,201.00,159.90
11-September-2007,3999.95,4160.00,3999.95,4147.05,4101.433486462711367412,20462,1298,83923532.00,14875,72.70,160.05,147.10
10-September-2007,3830.00,3991.00,3830.00,3957.25,3959.214285714285714285,910,223,3602885.00,369,40.55,161.00,127.25
7-September-2007,3950.00,3994.95,3900.00,3914.80,3947.952542372881355932,5900,379,23292920.00,4356,73.83,94.95,-35.20
6-September-2007,3990.00,4000.00,3910.00,3947.50,3947.332176327664005553,5762,301,22744528.00,4235,73.50,90.00,-42.50
5-September-2007,4050.00,4050.00,3955.45,3993.80,4003.094890510948905109,1233,170,4935816.00,467,37.88,94.55,-56.20
4-September-2007,4089.90,4089.90,4021.00,4035.20,4041.224586288416075650,2115,274,8547190.00,541,25.58,68.90,-54.70
3-September-2007,3897.95,4049.95,3897.95,4015.00,4014.716324856439704675,6095,519,24469696.00,3883,63.71,152.00,117.05
31-August-2007,3849.00,3955.00,3823.00,3941.30,3915.627615752183226231,6069,488,23763944.00,3765,62.04,132.00,92.30
30-August-2007,3824.00,3890.00,3760.00,3827.05,3823.204159824849480021,5481,596,20954982.00,2597,47.38,130.00,3.05
29-August-2007,3650.00,3799.00,3610.00,3780.75,3744.528577604842196281,11565,902,43305473.00,6055,52.36,189.00,130.75
28-August-2007,3744.90,3746.50,3651.00,3697.35,3707.626972740315638450,697,213,2584216.00,212,30.42,95.50,-47.55
27-August-2007,3675.00,3740.00,3655.00,3699.40,3699.949218750000000000,2304,410,8524683.00,725,31.47,85.00,24.40
24-August-2007,3671.35,3671.35,3560.00,3604.35,3607.994961062757672927,4366,444,15752506.00,2589,59.30,111.35,-67.00
23-August-2007,3775.00,3798.90,3540.00,3599.50,3639.210229023313135462,9737,744,35434990.00,5817,59.74,258.90,-175.50
22-August-2007,3730.00,3789.95,3630.00,3699.40,3695.092566619915848527,2852,367,10538404.00,1042,36.54,159.95,-30.60
21-August-2007,3860.00,3869.00,3721.00,3731.75,3771.578475336322869955,1115,261,4205310.00,568,50.94,148.00,-128.25
20-August-2007,3899.00,3947.90,3810.00,3865.15,3888.404840484048404840,909,188,3534560.00,265,29.15,137.90,-33.85
17-August-2007,3850.00,3850.00,3650.00,3766.85,3763.505271084337349397,3984,459,14993805.00,1999,50.18,200.00,-83.15
16-August-2007,3894.00,3909.95,3820.00,3852.65,3864.316279069767441860,7740,395,29909808.00,4735,61.18,89.95,-41.35
14-August-2007,3975.00,3980.00,3899.85,3953.95,3946.712637650760356581,7628,571,30105524.00,4949,64.88,80.15,-21.05
13-August-2007,3779.90,3939.00,3665.00,3863.15,3801.920270547243287558,4879,677,18549569.00,1342,27.51,274.00,83.25
10-August-2007,3766.00,3766.00,3600.15,3682.15,3643.548824111424004870,13139,913,47872588.00,7099,54.03,165.85,-83.85
9-August-2007,4000.00,4049.00,3770.00,3800.50,3948.832484848484848484,4125,618,16288934.00,1308,31.71,279.00,-199.50
8-August-2007,3950.00,3960.00,3900.50,3920.50,3934.514354066985645933,2090,236,8223135.00,701,33.54,59.50,-29.50
7-August-2007,3974.00,3975.00,3875.10,3890.00,3929.326953125000000000,2560,313,10059077.00,409,15.98,99.90,-84.00
6-August-2007,3913.05,3975.50,3819.00,3869.80,3876.805927614705044172,10527,685,40811136.00,6012,57.11,156.50,-43.25
3-August-2007,4135.00,4150.00,3960.00,3989.00,4024.755668060752806515,4543,503,18284465.00,1537,33.83,190.00,-146.00
2-August-2007,4060.00,4269.80,4040.00,4058.65,4146.430886558627264061,6294,649,26097636.00,2316,36.80,229.80,-1.35
1-August-2007,4110.00,4175.00,4022.00,4075.45,4082.521948134092346616,7905,589,32272336.00,4654,58.87,153.00,-34.55
31-July-2007,4050.00,4270.00,4050.00,4194.65,4160.817720843341339738,7494,877,31181168.00,2757,36.79,220.00,144.65
30-July-2007,3814.00,4080.00,3781.35,4010.95,3992.709411117226197028,5451,573,21764259.00,3254,59.70,298.65,196.95
27-July-2007,3913.05,3986.00,3775.00,3892.25,3857.576433576433576433,6993,439,26976032.00,4264,60.98,211.00,-20.80
26-July-2007,4036.00,4099.95,3975.00,4015.90,4049.596412556053811659,3568,382,14448960.00,1543,43.25,124.95,-20.10
25-July-2007,4100.00,4186.95,4020.00,4031.95,4072.465909090909090909,2112,249,8601048.00,1226,58.05,166.95,-68.05
24-July-2007,4205.00,4242.00,4140.00,4175.55,4197.922094240837696335,4775,518,20045078.00,1877,39.31,102.00,-29.45
23-July-2007,3965.00,4200.00,3965.00,4176.00,4158.320330969267139479,12690,684,52769085.00,8946,70.50,235.00,211.00
20-July-2007,4030.00,4080.00,3950.00,3978.70,4014.469944341372912801,10780,452,43275986.00,7244,67.20,130.00,-51.30
19-July-2007,3771.00,4030.00,3771.00,4023.30,3977.079959126325201175,7829,696,31136559.00,4549,58.10,259.00,252.30
18-July-2007,3830.00,3875.00,3790.00,3829.15,3823.085530764029749830,2958,148,11308687.00,1851,62.58,85.00,-0.85
17-July-2007,3815.00,3900.00,3815.00,3864.15,3860.612944162436548223,5516,247,21295141.00,4265,77.32,85.00,49.15
16-July-2007,3776.00,3895.00,3776.00,3857.00,3860.672113863995782814,5691,392,21971085.00,4066,71.45,119.00,81.00
13-July-2007,3800.00,3900.00,3785.00,3819.35,3840.771936229767555068,8217,835,31559623.00,3758,45.73,115.00,19.35
12-July-2007,3695.00,3789.90,3665.00,3773.05,3743.014759145237232886,11044,787,41337855.00,6051,54.79,124.90,78.05
11-July-2007,3595.00,3645.00,3582.00,3633.85,3616.827459954233409610,2185,237,7902768.00,1556,71.21,63.00,38.85
10-July-2007,3600.00,3619.95,3565.00,3589.05,3588.716870194482134780,2211,219,7934653.00,1434,64.86,54.95,-10.95
9-July-2007,3610.00,3620.00,3559.00,3568.25,3590.606072401712728688,2569,207,9224267.00,1588,61.81,61.00,-41.75
6-July-2007,3555.00,3680.00,3555.00,3603.70,3629.005681818181818181,2816,345,10219280.00,1375,48.83,125.00,48.70
5-July-2007,3620.00,3645.00,3508.00,3574.85,3566.540386803185437997,1758,270,6269978.00,469,26.68,137.00,-45.15
4-July-2007,3505.00,3651.00,3505.00,3615.15,3603.609391514419447380,6623,718,23866705.00,3190,48.17,146.00,110.15
3-July-2007,3494.00,3599.00,3475.00,3541.85,3559.151527748908750779,4811,511,17123078.00,1820,37.83,124.00,47.85
2-July-2007,3370.15,3525.00,3370.00,3489.80,3483.922935779816513761,2180,244,7594952.00,744,34.13,155.00,119.65
29-June-2007,3500.00,3500.00,3400.00,3452.10,3445.848701880035810205,3351,266,11547039.00,1915,57.15,100.00,-47.90
28-June-2007,3469.80,3469.80,3350.00,3365.85,3394.709038812190674654,3839,301,13032288.00,2297,59.83,119.80,-103.95
27-June-2007,3427.00,3439.95,3400.00,3408.80,3414.654353562005277044,758,101,2588308.00,438,57.78,39.95,-18.20
26-June-2007,3450.00,3494.00,3410.00,3421.95,3445.708655332302936630,1294,184,4458747.00,382,29.52,84.00,-28.05
25-June-2007,3507.05,3507.05,3435.00,3455.35,3480.021349274124679760,2342,228,8150210.00,1329,56.75,72.05,-51.70
22-June-2007,3550.00,3588.00,3460.00,3514.95,3507.433096167087445490,8714,427,30563772.00,6867,78.80,128.00,-35.05
21-June-2007,3428.00,3560.00,3380.15,3525.30,3479.154626966672305870,11822,695,41130566.00,7360,62.26,179.85,97.30
20-June-2007,3429.35,3485.00,3415.00,3423.15,3453.242628321805606115,5494,396,18972115.00,2568,46.74,70.00,-6.20
19-June-2007,3370.00,3438.00,3350.05,3423.30,3389.842597147073290703,4066,346,13783100.00,2728,67.09,87.95,53.30
18-June-2007,3396.10,3438.00,3365.00,3374.85,3392.799610894941634241,1028,170,3487798.00,287,27.92,73.00,-21.25
15-June-2007,3410.00,3454.90,3370.00,3391.85,3415.456901408450704225,1775,312,6062436.00,496,27.94,84.90,-18.15
14-June-2007,3310.00,3455.00,3310.00,3363.50,3375.678328173374613003,6460,771,21806882.00,3102,48.02,145.00,53.50
13-June-2007,3351.00,3364.50,3277.00,3293.85,3316.406886657101865136,6970,485,23115356.00,2985,42.83,87.50,-57.15
12-June-2007,3405.10,3419.95,3255.00,3291.55,3286.762881056592183060,26046,854,85607026.00,18941,72.72,164.95,-113.55
11-June-2007,3464.15,3499.95,3405.50,3418.05,3438.546875604565680015,25845,580,88869244.00,20943,81.03,94.45,-46.10
8-June-2007,3451.00,3525.00,3402.00,3461.15,3516.365351680151184078,33866,385,119085229.00,31602,93.31,123.00,10.15
7-June-2007,3519.05,3615.00,3455.00,3534.00,3556.521166246145220072,7134,590,25372222.00,2361,33.10,160.00,14.95
6-June-2007,3565.90,3660.00,3510.00,3534.95,3582.492578849721706864,5390,540,19309635.00,1028,19.07,150.00,-30.95
5-June-2007,3680.00,3730.00,3487.00,3584.85,3596.401566547428148513,16214,1463,58312055.00,4876,30.07,243.00,-95.15
4-June-2007,3311.00,3750.00,3310.50,3707.05,3621.179153094462540716,34384,2476,124510624.00,15366,44.69,439.50,396.05
1-June-2007,3248.40,3350.00,3248.40,3310.00,3290.265487748497457235,8652,613,28467377.00,5857,67.70,101.60,61.60
31-May-2007,3249.90,3258.00,3200.00,3206.85,3228.387834821428571428,1792,147,5785271.00,939,52.40,58.00,-43.05
30-May-2007,3252.00,3280.00,3176.00,3191.45,3218.348399868030353018,3031,248,9754814.00,1963,64.76,104.00,-60.55
29-May-2007,3250.00,3265.00,3220.00,3244.10,3236.038335670874240299,4278,204,13843772.00,3409,79.69,45.00,-5.90
28-May-2007,3200.00,3250.00,3200.00,3227.25,3230.885859687386404943,2751,235,8888167.00,1922,69.87,50.00,27.25
25-May-2007,3115.00,3222.00,3115.00,3190.15,3188.235157405451088104,4733,331,15089917.00,2280,48.17,107.00,75.15
24-May-2007,3087.25,3174.00,3087.25,3132.75,3128.498941798941798941,1890,230,5912863.00,1052,55.66,86.75,45.50
23-May-2007,3200.00,3213.05,3083.05,3099.25,3102.838293955200981896,3259,283,10112150.00,2272,69.71,130.00,-100.75
22-May-2007,3140.00,3168.00,3096.00,3103.45,3115.683118741058655221,2796,260,8711450.00,1793,64.13,72.00,-36.55
21-May-2007,3245.00,3245.00,3111.10,3143.85,3169.519153971306019819,6761,667,21429119.00,2236,33.07,133.90,-101.15
18-May-2007,3185.00,3220.00,3140.00,3204.90,3184.376126126126126126,1776,191,5655452.00,785,44.20,80.00,19.90
17-May-2007,3198.75,3212.00,3135.00,3199.65,3186.039479269845761992,7067,553,22515741.00,4709,66.63,77.00,0.90
16-May-2007,3093.00,3131.00,3070.00,3108.95,3103.394567129177252296,5117,412,15880070.00,2451,47.90,61.00,15.95
15-May-2007,2986.00,3109.80,2985.05,3058.20,3074.622762919766740398,4973,357,15290099.00,2937,59.06,124.75,72.20
14-May-2007,3030.00,3088.00,2990.00,3032.90,3007.731518940787054063,10876,379,32712088.00,9306,85.56,98.00,2.90
11-May-2007,2825.25,3035.00,2825.25,3023.20,2982.082680591818973020,6894,372,20558478.00,4883,70.83,209.75,197.95
10-May-2007,2940.00,2985.15,2876.00,2929.60,2956.952317465296839463,12751,458,37704099.00,10045,78.78,109.15,-10.40
9-May-2007,2900.00,2919.90,2856.25,2893.30,2879.552590266875981161,1274,182,3668550.00,928,72.84,63.65,-6.70
8-May-2007,2885.00,2930.00,2850.15,2889.50,2897.657924743443557582,877,188,2541246.00,423,48.23,79.85,4.50
7-May-2007,2925.00,2999.00,2850.10,2872.10,2939.690794864791040699,3661,266,10762208.00,1941,53.02,148.90,-52.90
4-May-2007,3000.00,3030.00,2905.00,2917.65,2967.997526113249037932,3638,335,10797575.00,2046,56.24,125.00,-82.35
3-May-2007,2900.00,2995.00,2900.00,2989.20,2928.267250614405444577,15869,364,46468673.00,12952,81.62,95.00,89.20
30-April-2007,2750.00,2919.00,2742.05,2898.70,2868.862197856964864191,4013,371,11512744.00,1863,46.42,176.95,148.70
27-April-2007,2780.00,2789.00,2740.00,2765.05,2759.335937500000000000,4480,140,12361825.00,3884,86.70,49.00,-14.95
26-April-2007,2756.15,2798.00,2740.00,2776.05,2768.571655418816990869,2519,233,6974032.00,1321,52.44,58.00,19.90
25-April-2007,2765.00,2780.00,2720.00,2755.20,2758.583131067961165048,1648,186,4546145.00,477,28.94,60.00,-9.80
