Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-July-2011,282.60,282.60,275.50,276.60,277.917799721181671614,293381,3779,81535802.00,146063,49.79,7.10,-6.00
25-July-2011,280.00,282.25,277.10,279.60,279.879118977164870749,537330,4571,150387447.00,336233,62.57,5.15,-0.40
22-July-2011,279.25,281.70,277.40,279.75,280.149394551377946211,481296,3966,134834783.00,272103,56.54,4.30,0.50
21-July-2011,275.00,278.50,274.70,276.45,276.702299900066861739,139093,2417,38487353.00,49097,35.30,3.80,1.45
20-July-2011,277.40,279.80,274.05,275.00,276.401127907223270506,188668,2625,52148048.00,80397,42.61,5.75,-2.40
19-July-2011,277.25,278.55,275.45,276.75,277.050101281795842465,120456,2311,33372347.00,36643,30.42,3.10,-0.50
18-July-2011,279.90,279.90,276.00,277.00,277.355511893377958403,669280,2438,185628497.00,576349,86.11,3.90,-2.90
15-July-2011,226.95,284.80,226.95,278.15,280.174592383201536241,251523,3684,70470354.00,101904,40.51,57.85,51.20
14-July-2011,287.00,287.80,282.05,283.65,284.641895525475145358,435130,5676,123856228.00,133274,30.63,5.75,-3.35
13-July-2011,282.05,288.25,282.05,287.05,287.289706336158747746,1108274,8687,318395712.00,791155,71.39,6.20,5.00
12-July-2011,280.00,283.70,278.15,281.50,281.671230850869485789,459812,6994,129515812.00,159547,34.70,5.55,1.50
11-July-2011,276.30,281.65,275.40,280.60,279.862855626060712464,478452,7336,133900943.00,151235,31.61,6.25,4.30
8-July-2011,277.00,280.35,275.10,276.20,277.796254243932747997,405579,6505,112668327.00,117361,28.94,5.25,-0.80
7-July-2011,275.00,276.25,272.80,275.05,274.615616131492692178,291058,4550,79929072.00,87547,30.08,3.45,0.05
6-July-2011,275.70,277.60,271.70,273.20,273.965077426941387700,332507,5555,91095306.00,83832,25.21,5.90,-2.50
5-July-2011,278.00,280.30,275.25,276.35,277.609484413394103741,557947,7288,154891379.00,158849,28.47,5.05,-1.65
4-July-2011,278.90,279.45,274.55,277.20,276.762739290816014035,1012262,6519,280156404.00,721224,71.25,4.90,-1.70
