Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-August-2011,2737.60,2757.90,2704.65,2708.30,2733.924997452359115459,49065,3004,134140030.00,13342,27.19,53.25,-29.30
3-August-2011,2739.00,2740.00,2710.20,2732.05,2725.904623273951016265,37441,3124,102060595.00,8629,23.05,29.80,-6.95
2-August-2011,2804.95,2804.95,2746.00,2752.85,2763.516863765904449879,44563,2801,123150602.00,15554,34.90,58.95,-52.10
1-August-2011,2780.00,2819.95,2780.00,2809.15,2808.175482153137593552,27792,2446,78044813.00,7691,27.67,39.95,29.15
29-July-2011,2745.00,2778.50,2729.00,2766.80,2762.328286664745789349,38177,2471,105457407.00,7673,20.10,49.50,21.80
28-July-2011,2775.00,2775.00,2736.00,2747.40,2747.140739995978282726,49730,3629,136615309.00,15333,30.83,39.00,-27.60
27-July-2011,2800.00,2833.65,2787.20,2796.05,2807.376357135117564199,46145,3477,129546382.00,10654,23.09,46.45,-3.95
26-July-2011,2803.05,2824.00,2787.20,2799.60,2802.611610908068597132,42684,2336,119626674.00,14913,34.94,36.80,-3.45
25-July-2011,2819.40,2823.00,2790.35,2806.60,2806.243386563432534881,49596,3217,139178447.00,14882,30.01,32.65,-12.80
22-July-2011,2778.00,2838.00,2775.50,2825.35,2816.590102045015018721,97212,8652,273806357.00,31003,31.89,62.50,47.35
21-July-2011,2751.90,2782.00,2735.00,2767.30,2766.218199167021262878,77553,5200,214528520.00,35833,46.20,47.00,15.40
20-July-2011,2765.00,2771.00,2745.00,2751.65,2752.115949911295857451,77223,3005,212526650.00,34471,44.64,26.00,-13.35
19-July-2011,2727.80,2772.00,2717.10,2753.35,2743.049195207551736657,99156,5667,271989786.00,22320,22.51,54.90,25.55
18-July-2011,2744.90,2744.90,2709.00,2714.05,2720.954226401003578815,238347,6092,648531277.00,34276,14.38,35.90,-30.85
15-July-2011,2740.95,2770.00,2725.00,2730.55,2733.121711178600874583,191634,7945,523759046.00,83762,43.71,45.00,-10.40
14-July-2011,2764.95,2766.00,2732.40,2740.95,2742.621117829878841759,272206,12454,746557924.00,136799,50.26,33.60,-24.00
13-July-2011,2767.00,2808.00,2762.80,2784.20,2781.991400809916539088,161992,9517,450660351.00,34711,21.43,45.20,17.20
12-July-2011,2850.00,2850.00,2749.35,2794.25,2778.090638822097545047,673740,39592,1871710787.00,155016,23.01,100.65,-55.75
11-July-2011,2945.00,2974.00,2890.00,2919.00,2915.697277223335046886,112826,7570,328966461.00,13281,11.77,84.00,-26.00
8-July-2011,3000.00,3020.00,2965.65,2977.90,2998.873642987249544626,54900,4270,164638163.00,16075,29.28,54.35,-22.10
7-July-2011,2955.00,2999.00,2945.00,2995.15,2974.129847004926959979,57845,4060,172038541.00,20068,34.69,54.00,40.15
6-July-2011,2948.00,2970.00,2936.00,2952.55,2953.564681892332789559,36780,2328,108632109.00,9112,24.77,34.00,4.55
