Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-January-2009,535.00,539.70,505.10,511.75,513.258533611706848683,316601,7950,162498165.00,98308,31.05,34.60,-23.25
9-January-2009,503.70,550.00,493.15,535.65,532.912470444173222320,744777,17516,396900951.00,283798,38.11,56.85,31.95
7-January-2009,509.80,514.00,466.20,503.70,496.187196515115654908,646449,12205,320759717.00,275897,42.68,47.80,-6.10
6-January-2009,519.90,520.00,500.10,507.65,509.103757490751064760,253813,7775,129217152.00,33929,13.37,19.90,-12.25
5-January-2009,504.70,524.00,498.00,515.00,510.027188319307038254,276148,7532,140842988.00,117678,42.61,26.00,10.30
2-January-2009,500.05,507.50,494.00,497.30,499.740605177993527508,309000,8071,154419847.00,75951,24.58,13.50,-2.75
1-January-2009,485.00,498.90,477.15,496.65,487.036382822376463131,287141,8225,139848114.00,75728,26.37,21.75,11.65
31-December-2008,485.00,487.00,472.00,478.10,478.594874249733033840,217256,6895,103977608.00,55743,25.66,15.00,-6.90
30-December-2008,475.00,485.80,470.00,482.30,477.094102210687958145,241599,7029,115265458.00,50420,20.87,15.80,7.30
29-December-2008,468.00,479.50,460.00,476.85,469.890797505086554818,269829,6486,126790164.00,92782,34.39,19.50,8.85
26-December-2008,480.10,487.00,468.70,472.10,475.929320896259007008,202620,7161,96432799.00,37703,18.61,18.30,-8.00
24-December-2008,500.00,504.40,473.65,478.05,488.041628918573346954,311274,9737,151914670.00,87422,28.09,30.75,-21.95
23-December-2008,509.90,512.00,492.15,500.40,501.676778231172802164,181838,6921,91223902.00,22070,12.14,19.85,-9.50
22-December-2008,514.00,518.90,503.30,510.35,511.004836403033586132,230750,6539,117914366.00,67466,29.24,15.60,-3.65
19-December-2008,510.00,515.95,494.15,513.20,506.458875167214959495,348354,10778,176426975.00,82264,23.62,21.80,3.20
18-December-2008,479.70,513.95,475.00,510.15,497.321259171163848830,501981,14568,249645823.00,236457,47.10,38.95,30.45
17-December-2008,494.00,494.00,471.00,477.10,484.445032921539948681,395182,10988,191443957.00,101783,25.76,23.00,-16.90
16-December-2008,470.00,486.00,465.60,480.75,479.511559639609477290,334526,11004,160409084.00,58753,17.56,20.40,10.75
15-December-2008,489.60,501.90,467.20,469.60,482.385902704238049515,647798,16542,312488623.00,269614,41.62,34.70,-20.00
12-December-2008,500.00,500.00,476.05,482.25,483.994715441963805246,548201,17922,265326387.00,159656,29.12,23.95,-17.75
11-December-2008,542.00,545.00,503.00,507.65,514.453043645557654522,660113,15523,339597142.00,303411,45.96,42.00,-34.35
10-December-2008,507.00,556.00,507.00,541.45,542.336718911665632006,468753,11629,254221964.00,125323,26.74,49.00,34.45
8-December-2008,540.00,547.80,514.05,522.40,534.624604864738961168,360636,10033,192804879.00,84796,23.51,33.75,-17.60
5-December-2008,545.20,549.00,519.00,521.70,529.020790512817214812,388735,10814,205648897.00,106534,27.41,30.00,-23.50
4-December-2008,537.00,552.90,526.25,549.75,545.136196440363811535,313459,10507,170877847.00,52797,16.84,26.65,12.75
3-December-2008,540.00,550.30,522.00,534.85,534.162798948203180433,479180,15262,255960130.00,51997,10.85,28.30,-5.15
2-December-2008,545.00,550.00,523.50,534.55,537.979631594626891650,298747,10604,160719801.00,23470,7.86,26.50,-10.45
1-December-2008,569.00,591.70,558.95,563.95,578.650590587536234211,622685,16453,360317043.00,157933,25.36,32.75,-5.05
28-November-2008,506.00,563.70,506.00,558.05,549.271280593965688930,466963,16235,256489365.00,74089,15.87,57.70,52.05
26-November-2008,505.25,530.40,497.00,527.00,511.724467128351637128,352477,10908,180371105.00,74967,21.27,33.40,21.75
25-November-2008,529.70,535.75,500.00,503.25,516.237546901963681652,378982,9601,195644738.00,109100,28.79,35.75,-26.45
24-November-2008,503.00,530.00,492.20,520.70,517.978589884331155617,597568,13211,309527430.00,237379,39.72,37.80,17.70
21-November-2008,459.90,516.00,456.10,506.55,497.127405436271839976,530621,17375,263786241.00,80152,15.11,59.90,46.65
20-November-2008,470.00,480.85,460.10,469.50,465.413075652807058454,210131,6900,97797715.00,34893,16.61,20.75,-0.50
19-November-2008,486.00,495.00,472.00,480.85,481.867053234725089639,539103,11045,259775974.00,210318,39.01,23.00,-5.15
18-November-2008,505.25,516.00,479.00,482.60,493.590307078510244834,487758,13303,240752621.00,95726,19.63,37.00,-22.65
17-November-2008,538.00,538.00,506.25,518.70,518.958595511650381187,232825,7858,120826535.00,23643,10.15,31.75,-19.30
14-November-2008,537.05,549.00,523.25,529.40,531.450481121683292584,260537,9597,138462514.00,19789,7.60,25.75,-7.65
