Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-November-2008,749.00,760.90,742.00,745.45,749.450112937144637432,51356,1221,38488760.00,27980,54.48,18.90,-3.55
4-November-2008,726.00,741.70,720.00,735.05,731.612644365421531296,31777,1435,23248455.00,2647,8.33,21.70,9.05
3-November-2008,769.00,770.00,714.15,725.40,731.730219787253107359,156242,2505,114326993.00,102968,65.90,55.85,-43.60
31-October-2008,770.00,773.90,731.00,748.30,748.633792592368536471,66121,1494,49500415.00,35193,53.23,42.90,-21.70
29-October-2008,740.10,779.00,713.10,759.05,736.797870005997922670,68357,1431,50365292.00,30831,45.10,65.90,18.95
28-October-2008,748.95,748.95,716.00,731.65,731.272986554393589569,7363,302,5384363.00,2142,29.09,32.95,-17.30
27-October-2008,715.00,728.00,663.00,697.80,693.482121264467092762,34734,1337,24087408.00,8886,25.58,65.00,-17.20
24-October-2008,750.00,767.00,722.50,727.65,743.601299694189602446,120336,2163,89482006.00,69756,57.97,44.50,-22.35
23-October-2008,790.00,808.00,748.10,757.25,776.293908728228082125,102770,3627,79779725.00,41632,40.51,59.90,-32.75
22-October-2008,820.00,836.00,805.00,810.00,818.861696432916443622,41098,1649,33653578.00,9082,22.10,31.00,-10.00
21-October-2008,815.40,834.90,811.00,826.15,822.539377258451251224,59222,2409,48712427.00,6889,11.63,23.90,10.75
20-October-2008,815.00,824.00,800.00,804.50,808.934607570170817969,39867,1329,32249796.00,8456,21.21,24.00,-10.50
17-October-2008,835.75,854.50,792.00,811.35,828.636427741037906653,52471,1681,43479382.00,18639,35.52,62.50,-24.40
16-October-2008,795.00,848.00,791.05,844.20,818.136337927133772020,72489,1924,59305885.00,29282,40.40,56.95,49.20
15-October-2008,810.10,833.00,810.00,825.65,823.004486613709914680,40788,1532,33568707.00,6029,14.78,23.00,15.55
14-October-2008,775.50,848.00,775.50,823.90,819.493266166341112367,97270,2598,79712110.00,41927,43.10,72.50,48.40
13-October-2008,818.00,844.50,794.40,830.30,820.103465387478289636,84637,2523,69411097.00,20002,23.63,50.10,12.30
10-October-2008,845.00,869.00,805.05,816.40,843.731980771298244536,65111,1819,54936233.00,18923,29.06,63.95,-28.60
8-October-2008,850.00,887.00,817.00,875.30,845.910992503858308223,108856,2397,92082487.00,53537,49.18,70.00,25.30
7-October-2008,870.00,879.00,858.00,870.55,870.189711470952067847,89731,961,78082993.00,58113,64.76,21.00,0.55
6-October-2008,879.95,884.65,842.00,857.15,862.110735749408122382,109820,1885,94677001.00,53897,49.08,42.65,-22.80
3-October-2008,864.00,894.80,864.00,882.75,885.866528223522748725,58267,2065,51616785.00,17966,30.83,30.80,18.75
1-October-2008,875.00,883.90,855.90,875.25,874.749963005711918079,67578,2088,59113853.00,12700,18.79,28.00,0.25
30-September-2008,834.00,875.00,820.00,868.90,850.010621323233137239,62045,1759,52738909.00,19134,30.84,55.00,34.90
29-September-2008,843.90,862.95,839.00,845.55,854.287024205768458679,77213,1808,65962064.00,27195,35.22,23.95,1.65
26-September-2008,858.80,858.80,840.10,845.65,846.895334720776968435,103788,1421,87897573.00,77697,74.86,18.70,-13.15
25-September-2008,843.90,874.00,841.20,861.95,862.314835666283438622,253113,3907,218263095.00,135982,53.72,32.80,18.05
24-September-2008,827.00,851.00,826.50,844.50,832.463533594027728403,281300,1740,234171992.00,247773,88.08,24.50,17.50
23-September-2008,811.00,834.80,810.00,827.75,824.820667027115104023,135017,2312,111364812.00,80380,59.53,24.80,16.75
22-September-2008,827.00,827.00,802.00,817.70,811.978783410402141701,209553,3104,170152590.00,125926,60.09,25.00,-9.30
19-September-2008,839.00,860.00,806.00,820.95,823.699391333849838718,394962,3309,325329959.00,315421,79.86,54.00,-18.05
18-September-2008,795.00,844.00,786.05,837.20,808.001809508142786642,79027,1362,63853959.00,53980,68.31,57.95,42.20
17-September-2008,858.00,869.90,812.00,820.50,843.347676486507384210,51732,2285,43628062.00,6998,13.53,57.90,-37.50
16-September-2008,818.80,862.00,813.05,854.75,854.270536767597325992,305160,2144,260689197.00,269189,88.21,48.95,35.95
15-September-2008,810.00,835.00,799.05,825.30,816.326932425862907146,148104,1078,120901284.00,117623,79.42,35.95,15.30
12-September-2008,831.00,846.00,827.00,833.90,839.877066603143481467,436586,1103,366678569.00,413788,94.78,19.00,2.90
11-September-2008,831.05,851.90,827.05,835.60,836.741461894933603333,51358,1035,42973368.00,21653,42.16,24.85,4.55
10-September-2008,821.00,844.65,810.50,837.95,835.389409014184917647,95383,1668,79681948.00,49226,51.61,34.15,16.95
9-September-2008,845.00,845.00,823.05,829.15,827.714222528287731438,178611,1894,147838865.00,120697,67.58,21.95,-15.85
8-September-2008,865.00,888.00,852.00,860.50,870.375965071082476971,75124,1944,65386124.00,43856,58.38,36.00,-4.50
5-September-2008,860.00,878.00,854.20,859.95,864.938494646510268604,37639,1505,32555420.00,5512,14.64,23.80,-0.05
4-September-2008,859.00,886.95,853.55,867.75,872.475753391276094549,49244,2288,42964196.00,5631,11.43,33.40,8.75
2-September-2008,855.00,867.80,846.50,856.10,858.132228697300914566,143456,1720,123104217.00,84966,59.23,21.30,1.10
1-September-2008,821.00,852.00,820.00,848.10,845.096983641078635911,51287,1750,43342489.00,19037,37.12,32.00,27.10
29-August-2008,825.00,834.00,825.00,828.80,829.738173933180354097,95002,862,78826786.00,79911,84.12,9.00,3.80
28-August-2008,810.00,834.00,810.00,821.75,824.709601368322110421,194691,2425,160563537.00,129222,66.37,24.00,11.75
27-August-2008,808.00,813.50,800.05,808.85,802.621021036330845850,156919,832,125946488.00,139753,89.06,13.45,0.85
26-August-2008,806.00,806.00,795.10,799.75,800.707366410069112771,17797,289,14250189.00,10684,60.03,10.90,-6.25
25-August-2008,835.00,880.00,800.00,802.40,804.994116345941163459,22605,510,18196892.00,15044,66.55,80.00,-32.60
22-August-2008,800.00,807.00,790.00,801.05,801.229516037425641945,66906,447,53607062.00,59629,89.12,17.00,1.05
21-August-2008,809.00,810.00,788.05,802.35,801.668702232878765173,26692,803,21398141.00,13466,50.45,21.95,-6.65
20-August-2008,799.00,809.90,798.00,803.35,804.587483578167920697,16746,555,13473622.00,7598,45.37,11.90,4.35
19-August-2008,780.10,804.00,780.00,795.00,791.175808870794943218,9334,496,7384835.00,1843,19.75,24.00,14.90
18-August-2008,778.00,796.00,777.25,792.65,788.174944701387492459,9946,524,7839188.00,1070,10.76,18.75,14.65
14-August-2008,811.00,812.90,777.00,785.10,790.622652248150256118,22841,966,18058612.00,7782,34.07,35.90,-25.90
13-August-2008,815.00,839.00,811.05,815.20,819.416010975265302828,24783,379,20307587.00,17382,70.14,27.95,0.20
12-August-2008,804.00,830.00,804.00,820.55,819.668957084568254010,75241,484,61672712.00,66872,88.88,26.00,16.55
11-August-2008,830.00,835.00,819.00,827.05,830.024883235615621584,50315,594,41762702.00,30031,59.69,16.00,-2.95
8-August-2008,817.05,828.75,817.05,821.60,821.478273331804631965,34888,908,28659734.00,16053,46.01,11.70,4.55
7-August-2008,814.00,827.00,814.00,820.10,820.784144458084188017,50506,895,41454524.00,26999,53.46,13.00,6.10
6-August-2008,842.00,842.00,817.15,819.15,822.018169519254971054,63568,1356,52254051.00,25953,40.83,24.85,-22.85
5-August-2008,798.00,845.80,790.10,828.85,830.230133316140494150,139593,2235,115894315.00,88338,63.28,55.70,30.85
4-August-2008,797.00,800.00,760.00,795.20,789.467604691518053145,47831,677,37761025.00,27384,57.25,40.00,-1.80
1-August-2008,790.00,805.00,769.00,795.75,788.740148997134670487,43625,1221,34408789.00,18079,41.44,36.00,5.75
