Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-November-2010,3219.00,3282.70,3212.00,3272.05,3251.362218834727765688,343748,15431,1117649260.00,90303,26.27,70.70,53.05
2-November-2010,3201.00,3239.80,3175.50,3202.00,3208.669004966676571719,376912,14233,1209385852.00,76754,20.36,64.30,1.00
1-November-2010,3187.00,3290.00,3170.00,3195.80,3195.983165809524871986,89639,2843,286484735.00,46856,52.27,120.00,8.80
29-October-2010,3176.00,3185.00,3115.00,3151.20,3156.939832671696715437,248374,11584,784101774.00,34382,13.84,70.00,-24.80
28-October-2010,3211.00,3233.80,3161.60,3177.55,3207.780615632990166255,251481,9870,806695877.00,59606,23.70,72.20,-33.45
27-October-2010,3177.90,3214.95,3157.25,3193.45,3191.758345140266364409,194095,9335,619504336.00,20060,10.34,57.70,15.55
26-October-2010,3235.00,3238.00,3172.00,3180.45,3196.388134909753697759,309985,11501,990832376.00,83130,26.82,66.00,-54.55
25-October-2010,3204.05,3251.00,3204.05,3240.05,3237.968993864817421832,230148,9995,745212088.00,62872,27.32,46.95,36.00
22-October-2010,3208.00,3221.00,3172.55,3201.10,3198.130009118711134374,303771,15849,971499151.00,22065,7.26,48.45,-6.90
21-October-2010,3110.00,3210.00,3107.00,3196.40,3163.473263727094418135,369124,16400,1167713905.00,50038,13.56,103.00,86.40
20-October-2010,3106.95,3131.00,3077.00,3094.45,3104.154124068880243674,331590,15871,1029306466.00,33104,9.98,54.00,-12.50
19-October-2010,3190.00,3203.00,3110.30,3121.50,3165.415263709767560691,375754,14392,1189417447.00,46677,12.42,92.70,-68.50
18-October-2010,3164.70,3208.00,3135.00,3167.10,3162.635789927127831424,278570,13078,881015452.00,50964,18.29,73.00,2.40
15-October-2010,3271.00,3275.00,3150.00,3164.70,3195.962758951387244993,329502,14496,1053076121.00,85562,25.97,125.00,-106.30
14-October-2010,3312.00,3322.00,3251.10,3262.70,3282.006103987600394532,177425,8130,582309933.00,25035,14.11,70.90,-49.30
13-October-2010,3240.00,3315.60,3224.00,3304.90,3273.639740792586883691,445049,14458,1456930093.00,127098,28.56,91.60,64.90
12-October-2010,3260.05,3260.05,3202.00,3231.80,3225.825619960622538908,170656,7894,550506497.00,24846,14.56,58.05,-28.25
11-October-2010,3259.75,3269.70,3245.65,3259.20,3257.535820700625600968,168478,7075,548823120.00,54606,32.41,24.05,-0.55
8-October-2010,3201.00,3268.00,3201.00,3244.90,3243.780539468367759234,245019,10947,794787864.00,52658,21.49,67.00,43.90
7-October-2010,3236.10,3245.00,3205.00,3216.65,3223.617422207529236745,169393,7397,546058226.00,36020,21.26,40.00,-19.45
6-October-2010,3280.00,3280.00,3225.20,3232.10,3248.703246116608964735,130556,5808,424137701.00,26857,20.57,54.80,-47.90
5-October-2010,3257.00,3274.00,3242.10,3249.60,3260.367111235937998147,263476,8890,859028485.00,106462,40.41,31.90,-7.40
4-October-2010,3280.00,3299.00,3240.00,3256.35,3267.987468099031449804,258221,13107,843862992.00,54004,20.91,59.00,-23.65
1-October-2010,3250.00,3272.00,3222.10,3261.20,3254.997111717850937563,398853,14792,1298265363.00,123545,30.98,49.90,11.20
30-September-2010,3187.30,3268.00,3174.10,3233.20,3205.277501777356796590,465579,18994,1492309894.00,114113,24.51,93.90,45.90
